"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)","Quantidade","Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)","Extras","Card #","Comentario"
"","Adventures in the Forgotten Realms","afr","Acerto Critico","Critical Hit","1","NM","PT","U","R","","137",""
"","Adventures in the Forgotten Realms","afr","Adaga Reserva","Spare Dagger","1","M","EN","C","A","","250",""
"","Adventures in the Forgotten Realms","afr","Aliado Extraplanar","Planar Ally","1","M","EN","C","W","","31",""
"","Adventures in the Forgotten Realms","afr","Anao Bronzeo","Brazen Dwarf","1","NM","PT","C","R","","134",""
"","Adventures in the Forgotten Realms","afr","Aprendiz Excentrica","Eccentric Apprentice","1","M","EN","U","U","","57",""
"","Adventures in the Forgotten Realms","afr","Arauto de Hadar","Herald of Hadar","1","M","EN","C","B","","108",""
"","Adventures in the Forgotten Realms","afr","Arco Longo do Guardiao","Ranger's Longbow","1","M","EN","C","G","","203",""
"","Adventures in the Forgotten Realms","afr","Armadilha do Poco com Estacas","Spiked Pit Trap","1","M","EN","C","A","","251",""
"","Adventures in the Forgotten Realms","afr","Armadura de Couro","Leather Armor","1","M","EN","C","A","","248",""
"","Adventures in the Forgotten Realms","afr","Armadura de Placas","Plate Armor","1","M","EN","U","W","","32",""
"","Adventures in the Forgotten Realms","afr","Armas Improvisadas","Improvised Weaponry","1","M","EN","C","R","","150",""
"","Adventures in the Forgotten Realms","afr","Assecla dos Poderosos","Minion of the Mighty","1","NM","PT","R","R","","156",""
"","Adventures in the Forgotten Realms","afr","Atropal 4/4 // Tumba da Aniquilacao","The Atropal 4/4 // Tomb of Annihilation","1","M","EN","C","S","","T05T22",""
"","Adventures in the Forgotten Realms","afr","Barbaro Saqueador","Plundering Barbarian","1","M","EN","C","R","","158",""
"","Adventures in the Forgotten Realms","afr","Bardo Inspirador","Inspiring Bard","1","M","EN","C","G","","189",""
"","Adventures in the Forgotten Realms","afr","Barrar o Portal","Bar the Gate","1","M","EN","C","U","","47",""
"","Adventures in the Forgotten Realms","afr","Barrowin do Cla Undurr","Barrowin of Clan Undurr","1","NM","EN","U","M","","218",""
"","Adventures in the Forgotten Realms","afr","Basilisco do Subterraneo","Underdark Basilisk","1","M","EN","C","G","","208",""
"","Adventures in the Forgotten Realms","afr","Bau de Tesouro","Treasure Chest","1","NM","EN","R","A","","252",""
"","Adventures in the Forgotten Realms","afr","Bola de Fogo de Farideh","Farideh's Fireball","1","M","EN","C","R","","142",""
"","Adventures in the Forgotten Realms","afr","Botas da Velocidade","Boots of Speed","1","M","EN","C","R","","133",""
"","Adventures in the Forgotten Realms","afr","Brincalhona de Faeria","Feywild Trickster","1","NM","EN","U","U","","58",""
"","Adventures in the Forgotten Realms","afr","Bruenor Martelo de Batalha","Bruenor Battlehammer","1","M","EN","U","M","","219",""
"","Adventures in the Forgotten Realms","afr","Bugurso Brutamontes","Hulking Bugbear","1","NM","EN","U","R","","149",""
"","Adventures in the Forgotten Realms","afr","Bulete","Bulette","1","M","EN","C","G","","173",""
"","Adventures in the Forgotten Realms","afr","Buraco Portatil","Portable Hole","1","M","EN","U","W","","33",""
"","Adventures in the Forgotten Realms","afr","Buscador de Atalhos","Shortcut Seeker","1","M","EN","C","U","","73",""
"","Adventures in the Forgotten Realms","afr","Cacador Gnoll","Gnoll Hunter","1","M","EN","C","G","","185",""
"","Adventures in the Forgotten Realms","afr","Cacadora da Tribo do Tigre","Tiger-Tribe Hunter","1","NM","PT","U","R","","163",""
"","Adventures in the Forgotten Realms","afr","Campea de Nanoforte","Dwarfhold Champion","1","NM","PT","C","W","","14",""
"","Adventures in the Forgotten Realms","afr","Canalizador do Caos","Chaos Channeler","1","M","EN","U","R","","136",""
"","Adventures in the Forgotten Realms","afr","Cao Ilusao */* // Boo 1/1","Dog Illusion */* // Boo 1/1","1","M","EN","C","S","","T03T10",""
"","Adventures in the Forgotten Realms","afr","Cao Teleportador","Blink Dog","1","NM","PT","U","W","","3",""
"","Adventures in the Forgotten Realms","afr","Capita Hobgoblin","Hobgoblin Captain","1","NM","PT","C","R","","148",""
"","Adventures in the Forgotten Realms","afr","Carnecal Tropego","Shambling Ghast","1","M","EN","C","B","","119",""
"","Adventures in the Forgotten Realms","afr","Carnical do Sepulcro","Sepulcher Ghoul","1","M","EN","C","B","","118",""
"","Adventures in the Forgotten Realms","afr","Circulo de Teleporte","Teleportation Circle","1","M","EN","R","W","","39",""
"","Adventures in the Forgotten Realms","afr","Classe: Barbaro","Barbarian Class","1","NM","EN","U","R","","131",""
"","Adventures in the Forgotten Realms","afr","Classe: Guardiao","Ranger Class","1","M","EN","R","G","","202",""
"","Adventures in the Forgotten Realms","afr","Conjurador Sagaz","Clever Conjurer","1","NM","PT","C","U","","51",""
"","Adventures in the Forgotten Realms","afr","Contato Extraplanar","Contact Other Plane","1","M","EN","C","U","","52",""
"","Adventures in the Forgotten Realms","afr","Contencao Reduzida","Minimus Containment","1","M","EN","C","W","","24",""
"","Adventures in the Forgotten Realms","afr","Corvo de Prata","Silver Raven","1","M","EN","C","U","","74",""
"","Adventures in the Forgotten Realms","afr","Covil da Hidra","Lair of the Hydra","1","M","EN","R","L","","259",""
"","Adventures in the Forgotten Realms","afr","Demilich","Demilich","1","M","EN","M","U","","53",""
"","Adventures in the Forgotten Realms","afr","Destruicao Divina","Divine Smite","1","NM","EN","U","W","","12",""
"","Adventures in the Forgotten Realms","afr","Devorar Intelecto","Devour Intellect","1","M","EN","C","B","","97",""
"","Adventures in the Forgotten Realms","afr","Discipulo do Dragao","Dragon's Disciple","1","NM","EN","U","W","","13",""
"","Adventures in the Forgotten Realms","afr","Disputa Mortifera","Deadly Dispute","1","M","EN","C","B","","94",""
"","Adventures in the Forgotten Realms","afr","Dividir o Grupo","Split the Party","1","NM","EN","U","U","","76",""
